labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
480,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.673,0.594,0.777,1,[0, 12, 0, 58],0.585,0.428,0.927,16,[2130, 0, 5, 10],0.71,0.62,0.831,10,[1499, 0, 1, 5],0.656,0.052,0.547,0.085,0.845,0.062
500,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.732,0.7,0.768,5,[538, 3, 0, 11],0.73,0.657,0.821,1,[0, 23, 0, 297],0.768,0.725,0.817,1,[0, 6, 0, 207],0.743,0.017,0.694,0.028,0.802,0.024
520,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.765,0.716,0.821,1,[0, 1, 0, 55],0.654,0.528,0.86,12,[1458, 1, 1, 1],0.699,0.607,0.824,5,[589, 0, 0, 0],0.706,0.046,0.617,0.077,0.835,0.018
540,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.728,0.667,0.802,8,[1084, 1, 0, 7],0.739,0.711,0.77,1,[0, 21, 0, 172],0.702,0.581,0.887,1,[0, 24, 0, 256],0.723,0.016,0.653,0.054,0.82,0.049
560,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.801,0.728,0.89,1,[0, 7, 0, 122],0.757,0.734,0.782,7,[779, 1, 0, 11],0.732,0.714,0.751,5,[637, 0, 0, 2],0.763,0.029,0.725,0.008,0.808,0.06
580,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.708,0.607,0.848,6,[830, 0, 0, 3],0.771,0.789,0.753,1,[0, 4, 0, 122],0.768,0.757,0.78,1,[0, 6, 0, 51],0.749,0.029,0.718,0.079,0.794,0.04
600,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.793,0.763,0.824,1,[0, 6, 0, 159],0.74,0.721,0.76,5,[586, 0, 0, 9],0.731,0.662,0.816,5,[780, 2, 0, 21],0.755,0.027,0.715,0.041,0.8,0.028
620,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.667,0.548,0.853,7,[1177, 1, 0, 17],0.843,0.845,0.841,1,[0, 4, 0, 113],0.805,0.754,0.865,1,[0, 3, 0, 55],0.772,0.076,0.716,0.124,0.853,0.01
640,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.766,0.664,0.904,1,[0, 60, 0, 382],0.755,0.715,0.8,7,[893, 0, 1, 0],0.715,0.639,0.812,6,[910, 2, 0, 13],0.745,0.022,0.673,0.032,0.839,0.046
660,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.783,0.697,0.893,8,[1184, 0, 0, 0],0.83,0.762,0.91,1,[0, 3, 0, 175],0.806,0.73,0.898,1,[0, 8, 0, 100],0.806,0.019,0.73,0.027,0.9,0.007
