Dataset,Method,Date,Train Size,F1,Precision,Recall,Runtime,Attr.Summarizer,Attr.Comparator,Embeddings,Epochs,Batch Size,Pos.Neg.Ratio
dbpedia_viaf,Passive Learing,25.07.2021,2000,0.85,0.805,0.901,180.105,rnn,abs-diff,fasttext.en.bin,20,20,5
dbpedia_viaf,Passive Learing,25.07.2021,2000,0.84,0.786,0.903,177.209,rnn,abs-diff,fasttext.en.bin,20,20,5
dbpedia_viaf,Passive Learing,25.07.2021,2000,0.863,0.84,0.887,183.32,rnn,abs-diff,fasttext.en.bin,20,20,5
dbpedia_viaf,Passive Learing,25.07.2021,1000,0.791,0.818,0.765,89.842,rnn,abs-diff,fasttext.en.bin,20,20,4
dbpedia_viaf,Passive Learing,25.07.2021,1000,0.824,0.846,0.804,93.022,rnn,abs-diff,fasttext.en.bin,20,20,5
dbpedia_viaf,Passive Learing,25.07.2021,1000,0.798,0.774,0.824,95.911,rnn,abs-diff,fasttext.en.bin,20,20,5
dbpedia_dnb,Passive Learing,25.07.2021,2000,0.772,0.804,0.743,98.946,rnn,abs-diff,fasttext.en.bin,20,20,5
dbpedia_dnb,Passive Learing,25.07.2021,2000,0.791,0.78,0.803,97.567,rnn,abs-diff,fasttext.en.bin,20,20,5
dbpedia_dnb,Passive Learing,25.07.2021,2000,0.775,0.792,0.758,97.465,rnn,abs-diff,fasttext.en.bin,20,20,5
dbpedia_dnb,Passive Learing,25.07.2021,1000,0.675,0.677,0.673,50.032,rnn,abs-diff,fasttext.en.bin,20,20,5
dbpedia_dnb,Passive Learing,25.07.2021,1000,0.712,0.651,0.784,50.496,rnn,abs-diff,fasttext.en.bin,20,20,5
dbpedia_dnb,Passive Learing,25.07.2021,1000,0.714,0.691,0.739,52.276,rnn,abs-diff,fasttext.en.bin,20,20,5
cameras,Passive Learing,25.07.2021,2000,0.659,0.655,0.663,66.482,rnn,abs-diff,fasttext.en.bin,20,20,4
cameras,Passive Learing,25.07.2021,2000,0.636,0.643,0.63,64.853,rnn,abs-diff,fasttext.en.bin,20,20,4
cameras,Passive Learing,25.07.2021,2000,0.665,0.742,0.603,64.944,rnn,abs-diff,fasttext.en.bin,20,20,4
cameras,Passive Learing,25.07.2021,1000,0.613,0.561,0.677,33.318,rnn,abs-diff,fasttext.en.bin,20,20,4
cameras,Passive Learing,25.07.2021,1000,0.609,0.608,0.61,34.35,rnn,abs-diff,fasttext.en.bin,20,20,3
cameras,Passive Learing,25.07.2021,1000,0.641,0.645,0.637,34.254,rnn,abs-diff,fasttext.en.bin,20,20,3
watches,Passive Learing,25.07.2021,2000,0.531,0.48,0.593,56.24,rnn,abs-diff,fasttext.en.bin,20,20,5
watches,Passive Learing,25.07.2021,2000,0.548,0.542,0.553,55.542,rnn,abs-diff,fasttext.en.bin,20,20,4
watches,Passive Learing,25.07.2021,2000,0.508,0.527,0.49,56.699,rnn,abs-diff,fasttext.en.bin,20,20,4
watches,Passive Learing,25.07.2021,1000,0.436,0.414,0.46,28.352,rnn,abs-diff,fasttext.en.bin,20,20,5
watches,Passive Learing,25.07.2021,1000,0.427,0.401,0.457,27.845,rnn,abs-diff,fasttext.en.bin,20,20,5
watches,Passive Learing,25.07.2021,1000,0.481,0.467,0.497,28.884,rnn,abs-diff,fasttext.en.bin,20,20,4
abt_buy,Passive Learing,25.07.2021,2000.0,0.467,0.47,0.464,314.562,hybrid,abs-diff,fasttext.en.bin,20,20,6
abt_buy,Passive Learing,25.07.2021,2000.0,0.54,0.455,0.664,314.645,hybrid,abs-diff,fasttext.en.bin,20,20,6
abt_buy,Passive Learing,25.07.2021,2000.0,0.482,0.416,0.573,314.257,hybrid,abs-diff,fasttext.en.bin,20,20,5
abt_buy,Passive Learing,25.07.2021,1000.0,0.379,0.341,0.427,158.608,hybrid,abs-diff,fasttext.en.bin,20,20,5
abt_buy,Passive Learing,25.07.2021,1000.0,0.303,0.341,0.273,159.878,hybrid,abs-diff,fasttext.en.bin,20,20,6
abt_buy,Passive Learing,25.07.2021,1000.0,0.352,0.342,0.364,162.668,hybrid,abs-diff,fasttext.en.bin,20,20,6

