labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
213,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.326,0.232,0.552,3,"[0, 11, 0, 5]",0.303,0.222,0.475,3,"[0, 0, 0, 0]",0.356,0.272,0.517,4,"[26, 6, 0, 3]",0.328,0.027,0.242,0.026,0.515,0.039
233,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.319,0.26,0.413,2,"[0, 39, 0, 10]",0.299,0.22,0.467,3,"[0, 0, 0, 0]",0.366,0.276,0.541,2,"[0, 13, 0, 17]",0.328,0.034,0.252,0.029,0.474,0.064
253,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.335,0.232,0.602,3,"[13, 10, 1, 7]",0.337,0.293,0.398,3,"[0, 0, 0, 0]",0.335,0.278,0.421,5,"[102, 6, 1, 4]",0.336,0.001,0.268,0.032,0.474,0.112
273,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.294,0.284,0.305,1,"[0, 67, 0, 50]",0.362,0.311,0.432,2,"[0, 12, 0, 7]",0.319,0.254,0.429,3,"[0, 17, 0, 12]",0.325,0.034,0.283,0.029,0.389,0.072
293,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.34,0.292,0.405,7,"[143, 0, 9, 0]",0.387,0.301,0.544,4,"[117, 20, 3, 8]",0.35,0.297,0.425,2,"[0, 31, 0, 14]",0.359,0.025,0.297,0.005,0.458,0.075
313,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.356,0.252,0.606,2,"[0, 17, 0, 32]",0.447,0.369,0.568,2,"[0, 52, 0, 24]",0.387,0.32,0.49,3,"[63, 17, 0, 9]",0.397,0.046,0.314,0.059,0.555,0.059
333,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.361,0.293,0.471,1,"[0, 86, 0, 91]",0.38,0.294,0.537,3,"[55, 14, 1, 22]",0.334,0.288,0.398,2,"[0, 21, 0, 22]",0.358,0.023,0.292,0.003,0.469,0.07
353,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.387,0.321,0.486,3,"[64, 9, 1, 23]",0.403,0.308,0.583,2,"[2, 15, 0, 22]",0.366,0.284,0.514,3,"[102, 43, 3, 30]",0.385,0.019,0.304,0.019,0.528,0.05
373,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.353,0.354,0.351,2,"[0, 38, 0, 58]",0.408,0.365,0.463,2,"[19, 18, 1, 35]",0.385,0.301,0.533,2,"[0, 44, 0, 34]",0.382,0.028,0.34,0.034,0.449,0.092
393,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.398,0.305,0.571,3,"[40, 9, 0, 22]",0.424,0.35,0.537,3,"[3, 4, 0, 10]",0.347,0.317,0.382,2,"[47, 32, 0, 30]",0.39,0.039,0.324,0.023,0.497,0.101
413,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.419,0.375,0.475,1,"[0, 61, 0, 73]",0.452,0.397,0.525,2,"[0, 30, 0, 46]",0.363,0.289,0.49,3,"[0, 11, 0, 21]",0.411,0.045,0.354,0.057,0.497,0.026
433,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.443,0.354,0.591,7,"[297, 2, 11, 6]",0.405,0.369,0.448,2,"[13, 20, 0, 35]",0.357,0.307,0.429,2,"[8, 33, 0, 35]",0.402,0.043,0.343,0.032,0.489,0.089
453,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.382,0.349,0.421,2,"[0, 33, 0, 43]",0.411,0.385,0.44,2,"[20, 25, 1, 40]",0.373,0.332,0.425,3,"[82, 22, 4, 29]",0.389,0.02,0.355,0.027,0.429,0.01
473,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.412,0.362,0.479,3,"[1, 5, 0, 14]",0.411,0.388,0.436,2,"[3, 30, 0, 50]",0.369,0.339,0.405,2,"[0, 23, 0, 29]",0.397,0.025,0.363,0.025,0.44,0.037
493,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.447,0.379,0.544,2,"[1, 24, 0, 55]",0.419,0.356,0.51,3,"[57, 15, 2, 34]",0.378,0.349,0.413,2,"[64, 35, 0, 31]",0.415,0.035,0.361,0.016,0.489,0.068
513,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.418,0.353,0.514,2,"[94, 49, 1, 75]",0.369,0.383,0.355,2,"[1, 28, 0, 65]",0.405,0.359,0.463,2,"[19, 16, 0, 36]",0.397,0.025,0.365,0.016,0.444,0.081
533,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.438,0.371,0.537,3,"[1, 11, 0, 17]",0.45,0.445,0.456,3,"[17, 13, 0, 28]",0.409,0.374,0.452,2,"[24, 27, 0, 33]",0.432,0.021,0.397,0.042,0.482,0.048
553,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.442,0.377,0.533,2,"[1, 39, 0, 68]",0.405,0.404,0.405,2,"[6, 22, 0, 40]",0.395,0.353,0.448,2,"[43, 42, 0, 42]",0.414,0.025,0.378,0.026,0.462,0.065
573,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.485,0.456,0.517,3,"[18, 10, 0, 13]",0.481,0.463,0.502,3,"[3, 3, 0, 13]",0.423,0.351,0.533,2,"[0, 22, 0, 41]",0.463,0.035,0.423,0.063,0.517,0.016
593,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.477,0.414,0.564,2,"[0, 20, 0, 44]",0.458,0.438,0.479,2,"[2, 17, 0, 53]",0.396,0.375,0.421,2,"[61, 27, 1, 43]",0.444,0.042,0.409,0.032,0.488,0.072
613,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.495,0.414,0.614,3,"[11, 8, 1, 21]",0.445,0.435,0.456,2,"[10, 15, 0, 54]",0.44,0.386,0.514,3,"[0, 8, 0, 11]",0.46,0.03,0.412,0.025,0.528,0.08
633,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.456,0.39,0.548,2,"[1, 20, 0, 76]",0.453,0.429,0.479,3,"[97, 16, 0, 44]",0.424,0.345,0.548,2,"[4, 25, 0, 27]",0.444,0.018,0.388,0.042,0.525,0.04
653,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.422,0.358,0.514,3,"[2, 6, 0, 23]",0.452,0.417,0.494,2,"[0, 23, 0, 49]",0.432,0.378,0.506,3,"[12, 16, 1, 16]",0.435,0.015,0.384,0.03,0.505,0.01
673,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.432,0.368,0.525,2,"[2, 9, 0, 36]",0.42,0.428,0.413,3,"[89, 23, 3, 47]",0.435,0.402,0.475,2,"[20, 22, 0, 34]",0.429,0.008,0.399,0.03,0.471,0.056
