labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
780,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.486,0.393,0.637,2,"[10, 8, 0, 2]",0.47,0.388,0.595,2,"[10, 3, 0, 7]",0.498,0.412,0.629,2,"[10, 5, 0, 5]",0.485,0.014,0.398,0.013,0.62,0.022
800,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.477,0.415,0.56,2,"[10, 1, 0, 9]",0.431,0.374,0.51,2,"[9, 6, 1, 4]",0.481,0.422,0.56,2,"[10, 9, 0, 1]",0.463,0.028,0.404,0.026,0.543,0.029
820,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.51,0.44,0.606,2,"[10, 5, 0, 5]",0.446,0.371,0.56,2,"[10, 8, 0, 2]",0.483,0.413,0.583,2,"[10, 6, 0, 4]",0.48,0.032,0.408,0.035,0.583,0.023
840,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.46,0.394,0.552,2,"[10, 4, 0, 6]",0.469,0.349,0.714,2,"[10, 1, 0, 9]",0.472,0.41,0.556,2,"[10, 7, 0, 3]",0.467,0.006,0.384,0.032,0.607,0.092
860,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.464,0.392,0.568,2,"[9, 5, 1, 5]",0.486,0.409,0.598,2,"[10, 3, 0, 7]",0.468,0.402,0.56,2,"[10, 5, 0, 5]",0.473,0.012,0.401,0.009,0.575,0.02
880,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.477,0.402,0.587,2,"[10, 2, 0, 8]",0.465,0.367,0.633,2,"[10, 4, 0, 6]",0.494,0.421,0.598,2,"[10, 3, 0, 7]",0.479,0.015,0.397,0.027,0.606,0.024
900,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.469,0.41,0.548,2,"[10, 7, 0, 3]",0.482,0.387,0.637,2,"[10, 3, 0, 7]",0.495,0.434,0.575,2,"[10, 5, 0, 5]",0.482,0.013,0.41,0.024,0.587,0.046
920,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.514,0.444,0.61,2,"[10, 7, 0, 3]",0.494,0.411,0.618,2,"[10, 3, 0, 7]",0.508,0.454,0.575,2,"[10, 4, 0, 6]",0.505,0.01,0.436,0.023,0.601,0.023
940,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.491,0.426,0.579,2,"[9, 4, 1, 6]",0.495,0.409,0.625,2,"[10, 4, 0, 6]",0.492,0.398,0.645,2,"[9, 4, 1, 6]",0.493,0.002,0.411,0.014,0.616,0.034
960,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.523,0.441,0.641,2,"[9, 6, 1, 4]",0.479,0.433,0.537,2,"[10, 6, 0, 4]",0.485,0.42,0.575,2,"[10, 3, 0, 7]",0.496,0.024,0.431,0.011,0.584,0.053
980,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.5,0.418,0.622,2,"[10, 6, 0, 4]",0.525,0.437,0.656,2,"[9, 2, 1, 8]",0.488,0.388,0.656,2,"[10, 8, 0, 2]",0.504,0.019,0.414,0.025,0.645,0.02
1000,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.489,0.426,0.575,2,"[9, 7, 1, 3]",0.512,0.435,0.622,2,"[10, 4, 0, 6]",0.502,0.434,0.595,2,"[10, 4, 0, 6]",0.501,0.012,0.432,0.005,0.597,0.024
