labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
800,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.422,0.341,0.555,4,0.425,0.34,0.568,5,0.417,0.322,0.591,5,0.421,0.004,0.334,0.011,0.571,0.018
820,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.466,0.405,0.55,4,0.347,0.282,0.45,5,0.406,0.32,0.555,5,0.406,0.06,0.336,0.063,0.518,0.059
840,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.435,0.348,0.582,4,0.417,0.32,0.6,5,0.379,0.318,0.468,5,0.41,0.029,0.329,0.017,0.55,0.072
860,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.391,0.367,0.418,4,0.447,0.377,0.55,5,0.317,0.256,0.414,5,0.385,0.065,0.333,0.067,0.461,0.077
880,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.477,0.439,0.523,4,0.459,0.379,0.582,5,0.399,0.326,0.514,5,0.445,0.041,0.381,0.057,0.54,0.037
900,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.376,0.345,0.414,4,0.521,0.448,0.623,5,0.307,0.201,0.655,5,0.401,0.109,0.331,0.124,0.564,0.131
920,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.431,0.335,0.605,4,0.483,0.407,0.595,5,0.347,0.275,0.468,5,0.42,0.069,0.339,0.066,0.556,0.076
940,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.531,0.517,0.545,4,0.449,0.41,0.495,5,0.442,0.372,0.545,5,0.474,0.049,0.433,0.075,0.528,0.029
960,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.482,0.442,0.532,4,0.443,0.361,0.573,5,0.365,0.285,0.509,5,0.43,0.06,0.363,0.079,0.538,0.032
980,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.445,0.378,0.541,4,0.435,0.38,0.509,5,0.417,0.4,0.436,5,0.432,0.014,0.386,0.012,0.495,0.054
1000,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.452,0.371,0.577,4,0.462,0.435,0.491,4,0.405,0.288,0.682,5,0.44,0.03,0.365,0.074,0.583,0.096
