labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
700,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.873,0.854,0.893,2,0.87,0.921,0.824,2,0.912,0.916,0.909,1,0.885,0.023,0.897,0.037,0.875,0.045
720,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.866,0.828,0.907,2,0.898,0.881,0.915,2,0.906,0.896,0.917,1,0.89,0.021,0.868,0.036,0.913,0.005
740,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.888,0.926,0.853,2,0.863,0.889,0.839,2,0.912,0.924,0.9,1,0.888,0.025,0.913,0.021,0.864,0.032
760,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.884,0.847,0.926,2,0.922,0.912,0.932,1,0.915,0.9,0.931,1,0.907,0.02,0.886,0.035,0.93,0.003
780,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.885,0.859,0.914,2,0.911,0.919,0.904,1,0.921,0.934,0.909,1,0.906,0.019,0.904,0.04,0.909,0.005
800,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.9,0.904,0.895,2,0.922,0.929,0.914,1,0.912,0.897,0.927,1,0.911,0.011,0.91,0.017,0.912,0.016
820,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.865,0.83,0.904,2,0.913,0.939,0.888,1,0.901,0.876,0.929,1,0.893,0.025,0.882,0.055,0.907,0.021
840,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.857,0.828,0.888,2,0.922,0.928,0.915,1,0.909,0.902,0.917,1,0.896,0.034,0.886,0.052,0.907,0.016
860,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.895,0.902,0.888,2,0.918,0.897,0.941,1,0.918,0.884,0.954,1,0.91,0.013,0.894,0.009,0.928,0.035
880,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.903,0.866,0.942,2,0.906,0.904,0.909,1,0.916,0.882,0.953,1,0.908,0.007,0.884,0.019,0.935,0.023
900,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.894,0.889,0.898,2,0.919,0.941,0.897,1,0.921,0.918,0.924,1,0.911,0.015,0.916,0.026,0.906,0.015
920,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.903,0.915,0.892,2,0.917,0.895,0.939,1,0.922,0.911,0.934,1,0.914,0.01,0.907,0.011,0.922,0.026
940,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.887,0.851,0.926,2,0.93,0.915,0.946,1,0.92,0.898,0.942,1,0.912,0.023,0.888,0.033,0.938,0.011
960,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.889,0.873,0.905,2,0.94,0.945,0.934,1,0.931,0.91,0.953,1,0.92,0.027,0.909,0.036,0.931,0.024
980,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.897,0.891,0.902,2,0.94,0.944,0.936,1,0.924,0.899,0.951,1,0.92,0.022,0.911,0.029,0.93,0.025
1000,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.914,0.889,0.939,2,0.938,0.94,0.936,1,0.943,0.941,0.944,1,0.932,0.016,0.923,0.03,0.94,0.004
